grade	word	meaning	category
4-1	in	在...里面	prep
4-1	on	在...上面	prep
4-1	under	在...下面	prep
4-1	behind	在...后面	prep
4-1	near	在...附近	prep
4-1	left	左边	direction
4-1	right	右边	direction
4-1	front	前面	direction
4-1	back	后面	direction
4-1	up	向上	direction
4-1	down	向下	direction
4-1	help	帮助	verb
4-1	find	找到	verb
4-1	see	看见	verb
4-1	buy	买	verb
4-1	sell	卖	verb
4-1	make	制作	verb
4-1	take	拿/拍摄	verb
4-1	give	给	verb
4-1	friend	朋友	person
4-1	boy	男孩	person
4-1	girl	女孩	person
4-1	man	男人	person
4-1	woman	女人	person
4-1	baby	婴儿	person
4-1	bedroom	卧室	room
4-1	living room	客厅	room
4-1	kitchen	厨房	room
4-1	bathroom	浴室	room
4-1	bed	床	furniture
4-1	table	桌子	furniture
4-1	door	门	furniture
4-1	window	窗户	furniture
4-1	sofa	沙发	furniture
4-1	car	汽车	vehicle
4-1	bus	公共汽车	vehicle
4-1	bike	自行车	vehicle
4-1	plane	飞机	vehicle
4-1	train	火车	vehicle
4-1	ship	船	vehicle
4-2	young	年轻的	adj
4-2	clever	聪明的	adj
4-2	kind	善良的	adj
4-2	quiet	安静的	adj
4-2	active	活跃的	adj
4-2	angry	生气的	adj
4-2	tired	累的	adj
4-2	hungry	饿的	adj
4-2	thirsty	渴的	adj
4-2	think	想	verb
4-2	know	知道	verb
4-2	learn	学习	verb
4-2	teach	教	verb
4-2	study	学习	verb
4-2	live	生活/住	verb
4-2	work	工作	verb
4-2	where	在哪里	question
4-2	when	什么时候	question
4-2	who	谁	question
4-2	whose	谁的	question
4-2	why	为什么	question
4-2	city	城市	place
4-2	town	城镇	place
4-2	village	村庄	place
4-2	street	街道	place
4-2	road	道路	place
4-2	world	世界	noun
4-2	country	国家	noun
4-2	China	中国	noun
4-2	America	美国	noun
4-2	UK	英国	noun
4-2	Australia	澳大利亚	noun
5-1	important	重要的	adj
5-1	interesting	有趣的	adj
5-1	boring	无聊的	adj
5-1	difficult	困难的	adj
5-1	easy	容易的	adj
5-1	healthy	健康的	adj
5-1	strong	强壮的	adj
5-1	weak	虚弱的	adj
5-1	fast	快的	adj
5-1	slow	慢的	adj
5-1	high	高的	adj
5-1	low	低的	adj
5-1	light	轻的	adj
5-1	heavy	重的	adj
5-1	full	满的	adj
5-1	empty	空的	adj
5-1	quickly	快速地	adv
5-1	slowly	缓慢地	adv
5-1	carefully	小心地	adv
5-1	always	总是	adv
5-1	often	经常	adv
5-1	sometimes	有时	adv
5-1	never	从不	adv
5-1	usually	通常	adv
5-1	because	因为	conj
5-1	if	如果	conj
5-1	when	当...时	conj
5-1	but	但是	conj
5-1	use	使用	verb
5-1	start	开始	verb
5-1	finish	完成	verb
5-1	visit	访问/参观	verb
5-1	meet	遇见	verb
5-1	leave	离开	verb
5-1	remember	记得	verb
5-1	forget	忘记	verb
5-1	vegetable	蔬菜	food
5-1	fruit	水果	food
5-1	beef	牛肉	food
5-1	pork	猪肉	food
5-2	better	更好的	adj
5-2	best	最好的	adj
5-2	worse	更差的	adj
5-2	worst	最差的	adj
5-2	more	更多	adj
5-2	most	最多	adj
5-2	successful	成功的	adj
5-2	popular	流行的/受欢迎的	adj
5-2	special	特别的	adj
5-2	different	不同的	adj
5-2	same	相同的	adj
5-2	enjoy	喜欢	verb
5-2	hope	希望	verb
5-2	wish	祝愿	verb
5-2	miss	想念	verb
5-2	believe	相信	verb
5-2	understand	理解	verb
5-2	week	周	time
5-2	month	月	time
5-2	year	年	time
5-2	birthday	生日	time
5-2	party	派对	activity
5-2	game	游戏	activity
5-2	sport	运动	activity
5-2	story	故事	noun
5-2	song	歌曲	noun
5-2	film	电影	noun
5-2	photo	照片	noun
5-2	gift	礼物	noun
6-1	doctor	医生	job
6-1	nurse	护士	job
6-1	driver	司机	job
6-1	farmer	农民	job
6-1	cook	厨师	job
6-1	police	警察	job
6-1	postman	邮递员	job
6-1	businessman	商人	job
6-1	wear	穿	verb
6-1	show	展示	verb
6-1	call	打电话/叫	verb
6-1	answer	回答	verb
6-1	ask	问	verb
6-1	tell	告诉	verb
6-1	say	说	verb
6-1	spell	拼写	verb
6-1	language	语言	noun
6-1	Chinese	中文/汉语	noun
6-1	Japanese	日语	noun
6-1	French	法语	noun
6-1	Canadian	加拿大人	nationality
6-1	Australian	澳大利亚人	nationality
6-1	American	美国人	nationality
6-1	British	英国人	nationality
6-1	Japanese	日本人	nationality
6-1	national	国家的	adj
6-1	international	国际的	adj
6-1	traditional	传统的	adj
6-1	modern	现代的	adj
6-2	become	变成	verb
6-2	change	改变	verb
6-2	grow	生长	verb
6-2	fly	飞	verb
6-2	travel	旅行	verb
6-2	return	返回	verb
6-2	bring	带来	verb
6-2	send	发送	verb
6-2	university	大学	noun
6-2	college	学院	noun
6-2	company	公司	noun
6-2	factory	工厂	noun
6-2	museum	博物馆	noun
6-2	theatre	剧院	noun
6-2	possible	可能的	adj
6-2	impossible	不可能的	adj
6-2	necessary	必要的	adj
6-2	grow up	成长	phrase
6-2	come from	来自	phrase
6-2	be good at	擅长	phrase
6-2	look forward to	期待	phrase
6-2	take part in	参加	phrase
6-2	future	未来	noun
6-2	dream	梦想	noun
